
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_wrTranCtrl_Z7_layer0, 53, 59, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_wrTranQueue_4s_2s_1s_24s, 138, 67, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_dscrptrSrcMux_Z2_layer0, 47, 114, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_roundRobinArbiterWAck_3s_1_2, 7, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_extDscrptrFetchFSM_Z3_layer0, 175, 226, 33, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_intStatusMux_2s_1_2, 1, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_bufferDescriptors_Z1_layer0, 287, 387, 14, 0, 0, 5, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_0, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_1, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_2, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_RAM_1K20_wrapper_27s_2s_1_0s_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_bd_32s_9s_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_bd_3, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_controlRegisters_2s_0s_100s_4s_0_4, 4, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_ctrlIFMuxCDC, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_intController_Z10_layer0, 62, 52, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_int_0_ControllerFIFO_50s_1s_0s_27s_4s_2s, 7, 14, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_ram_fifo_0_50s_2s, 0, 2, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_fifo_0, 0, 2, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_interrupt_x_ctrl_1s_0s_27s_0s_0_1, 55, 34, 0, 0, 0, 0, 0, 0, 0
.	.	. DMA_INITIATOR, 1415, 1126, 110, 0, 0, 0, 16, 1, 0
.	.	.	. COREAXI4INTERCONNECT_Z14_layer0, 1415, 1126, 110, 0, 0, 0, 16, 1, 0
.	.	.	.	. caxi4interconnect_MasterConvertor_Z19_layer0, 895, 774, 42, 0, 0, 0, 16, 0, 0
.	.	.	.	.	. caxi4interconnect_MstrDataWidthConv_Z15_layer0, 433, 528, 42, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	. caxi4interconnect_UpConverter_Z17_layer0, 433, 528, 42, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_AChannel_32s_8s_1s_32s_64s_30s_1s_0_0_1_0, 59, 30, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_AChannel_32s_8s_1s_32s_64s_30s_1s_0_0_1_1, 52, 30, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_BChannel_8s_1s_4s_0_1s, 14, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_brespCtrl_1s_8s, 4, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_9s_9s_3s_0s_4s_2s_0s_3s, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_0s_2s_4s_0s_1, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_RChannel_8s_1s_16s_4s_64s_32s_0_1s, 99, 142, 15, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_RChan_Ctrl_64s_32s_8s, 24, 39, 15, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcRChan_Ctrl_64s_32s_1s_8s, 16, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_2, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_33s_33s_3s_1s_4s_2s_1s_3s, 10, 21, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_1s_2s_4s_0s_1, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_33s_0s, 0, 1, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_downsizing_16s_64s_32s_3s_15s_1s_16s_4s_1s_15s, 49, 73, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_1s_4s_16s_0s, 16, 41, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_67s_0s, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChannel_Z16_layer0, 113, 284, 11, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChan_Hold_Reg_32s_1s_64s_8s, 8, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_0, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_WChan_ReadDataFifoCtrl_3s_2s_0_1, 22, 42, 11, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_Wchan_WriteDataFifoCtrl_32s_1s_64s_8s_4s_2s_8s_3s, 46, 84, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_25s_25s_3s_0s_4s_2s_0s_3s, 10, 21, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_0s_2s_4s_0s_0, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_25s_0s, 0, 1, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_8s_8s_3s_1s_4s_2s_1s_3s, 10, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_1s_2s_4s_0s_0, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_8s_0s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_upsizing_16s_36s_72s_9s_15s_11s_16s_4s_11s_15s, 17, 115, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_11s_4s_16s_0s, 17, 45, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_36s_0s, 0, 0, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_36s_0s_0, 0, 0, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcAChannel_64s_32s_1s_8s_0, 48, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcAChannel_64s_32s_1s_8s_1, 48, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_8s_32s_64s_0s_1s, 462, 246, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_11s_0_1_3_0, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_71s_0_1_3_0, 88, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_71s_0_1_3_2, 88, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_76s_0_1_3_0, 132, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_82s_0_1_3_2, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. caxi4interconnect_SlaveConvertor_Z23_layer0, 518, 352, 68, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_9s_32s_64s_0s_1s, 462, 246, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_12s_0_1_3_0, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_0, 88, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_2, 88, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_0, 132, 69, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_83s_0_1_3_0, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvProtocolConverter_Z21_layer0, 56, 106, 68, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_9s_8s_0_0, 28, 53, 34, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_256s_9s_9s_255s_0s_256s_8s_0s_255s_3_0, 28, 48, 34, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_256s_255s_0s_8s_256s_0s_MPFS_DISCOVERY_KIT_0, 28, 48, 34, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_9s_8s_0_1, 28, 53, 34, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_256s_9s_9s_255s_0s_256s_8s_0s_255s_3, 28, 48, 34, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_256s_255s_0s_8s_256s_0s_MPFS_DISCOVERY_KIT, 28, 48, 34, 0, 0, 0, 0, 0, 0
.	.	. FIC0_INITIATOR, 7317, 9609, 2517, 0, 0, 16, 38, 1, 0
.	.	.	. COREAXI4INTERCONNECT_Z43_layer0, 7317, 9609, 2517, 0, 0, 16, 38, 1, 0
.	.	.	.	. caxi4interconnect_Axi4CrossBar_Z24_layer0, 349, 848, 203, 0, 0, 0, 2, 0, 0
.	.	.	.	.	. caxi4interconnect_AddressController_Z26_layer0, 117, 221, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_MasterControl_Z33_layer0, 72, 208, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z27_layer0, 0, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_0s_38s_38s_0s_31_28_layer0, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_1s_38s_38s_0s_31_29_layer0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_2s_38s_38s_0s_31_30_layer0, 0, 10, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_3s_38s_38s_0s_31_31_layer0, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_4s_38s_38s_0s_31_32_layer0, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_9s_4s_2s_8s_4s_0_16s_1s, 72, 130, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_BitScan0_4s, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z25_layer0_0, 45, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_AddressController_Z36_layer0, 117, 227, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_MasterControl_Z37_layer0, 72, 215, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DependenceChecker_Z27_layer0_0, 0, 85, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_0s_38s_38s_0s_31_28_layer0_0, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_1s_38s_38s_0s_31_29_layer0_0, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_2s_38s_38s_0s_31_30_layer0_0, 0, 13, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_3s_38s_38s_0s_31_31_layer0_0, 0, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_MasterAddressDecoder_3s_5s_4s_38s_38s_0s_31_32_layer0_0, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_TransactionController_3s_9s_4s_2s_8s_4s_1_16s_1s, 72, 130, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_BitScan0_4s_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_TargetMuxController_Z25_layer0_1, 45, 12, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_DERR_Slave_Z42_layer0, 44, 24, 17, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RDataController_Z34_layer0, 27, 157, 148, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_ReadDataController_Z35_layer0, 27, 157, 148, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RdFifoDualPort_1s_2_5s_3s_6s_2, 18, 22, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_DualPort_RAM_SyncWr_SyncRd_5s_3s_0s_32s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_ReadDataMux_1s_6s_3s_8s_64s_0s_1s_63_9s_12s, 9, 135, 142, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RespController_Z41_layer0, 25, 106, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RoundRobinArb_6s_3s_0s_0, 16, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlaveDataMuxController_Z40_layer0, 9, 71, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_WDataController_Z38_layer0, 19, 113, 8, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FifoDualPort_0_2s_5s_4s_1, 19, 29, 6, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_DualPort_RAM_SyncWr_SyncRd_5s_4s_0s_32s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_WriteDataMux_Z39_layer0, 0, 76, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_MasterConvertor_Z46_layer0, 562, 298, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_8s_38s_64s_0s_1s, 562, 298, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_11s_0_1_3_1, 22, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_76s_0_1_3_1, 152, 75, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_4, 120, 66, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_7, 120, 66, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_82s_0_1_3_2_FIC0_INITIATOR, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc_FIC0_INITIATOR, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. caxi4interconnect_SlaveConvertor_Z53_layer0, 1555, 2089, 598, 0, 0, 4, 7, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_9s_38s_64s_0s_1s_1, 448, 237, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_12s_0_1_3_3, 20, 8, 0, 0, 0, 0, 0, 0, 0
